,key_as_string,mean_cpu_usage,host_name
0,2021-08-09T01:55:00.000Z,0.1773625034838915,demo-project-jh2
1,2021-08-09T02:00:00.000Z,0.3019249960780144,demo-project-jh2
2,2021-08-09T02:05:00.000Z,,demo-project-jh2
3,2021-08-09T02:10:00.000Z,,demo-project-jh2
4,2021-08-09T02:15:00.000Z,,demo-project-jh2
5,2021-08-09T02:20:00.000Z,,demo-project-jh2
6,2021-08-09T02:25:00.000Z,,demo-project-jh2
7,2021-08-09T02:30:00.000Z,,demo-project-jh2
8,2021-08-09T02:35:00.000Z,,demo-project-jh2
9,2021-08-09T02:40:00.000Z,,demo-project-jh2
10,2021-08-09T02:45:00.000Z,,demo-project-jh2
11,2021-08-09T02:50:00.000Z,,demo-project-jh2
12,2021-08-09T02:55:00.000Z,,demo-project-jh2
13,2021-08-09T03:00:00.000Z,,demo-project-jh2
14,2021-08-09T03:05:00.000Z,,demo-project-jh2
15,2021-08-09T03:10:00.000Z,,demo-project-jh2
16,2021-08-09T03:15:00.000Z,,demo-project-jh2
17,2021-08-09T03:20:00.000Z,,demo-project-jh2
18,2021-08-09T03:25:00.000Z,,demo-project-jh2
19,2021-08-09T03:30:00.000Z,,demo-project-jh2
20,2021-08-09T03:35:00.000Z,,demo-project-jh2
21,2021-08-09T03:40:00.000Z,,demo-project-jh2
22,2021-08-09T03:45:00.000Z,,demo-project-jh2
23,2021-08-09T03:50:00.000Z,,demo-project-jh2
24,2021-08-09T03:55:00.000Z,,demo-project-jh2
25,2021-08-09T04:00:00.000Z,,demo-project-jh2
26,2021-08-09T04:05:00.000Z,,demo-project-jh2
27,2021-08-09T04:10:00.000Z,,demo-project-jh2
28,2021-08-09T04:15:00.000Z,,demo-project-jh2
29,2021-08-09T04:20:00.000Z,,demo-project-jh2
30,2021-08-09T04:25:00.000Z,,demo-project-jh2
31,2021-08-09T04:30:00.000Z,,demo-project-jh2
32,2021-08-09T04:35:00.000Z,,demo-project-jh2
33,2021-08-09T04:40:00.000Z,,demo-project-jh2
34,2021-08-09T04:45:00.000Z,,demo-project-jh2
35,2021-08-09T04:50:00.000Z,,demo-project-jh2
36,2021-08-09T04:55:00.000Z,,demo-project-jh2
37,2021-08-09T05:00:00.000Z,,demo-project-jh2
38,2021-08-09T05:05:00.000Z,,demo-project-jh2
39,2021-08-09T05:10:00.000Z,,demo-project-jh2
40,2021-08-09T05:15:00.000Z,,demo-project-jh2
41,2021-08-09T05:20:00.000Z,,demo-project-jh2
42,2021-08-09T05:25:00.000Z,,demo-project-jh2
43,2021-08-09T05:30:00.000Z,,demo-project-jh2
44,2021-08-09T05:35:00.000Z,,demo-project-jh2
45,2021-08-09T05:40:00.000Z,,demo-project-jh2
46,2021-08-09T05:45:00.000Z,,demo-project-jh2
47,2021-08-09T05:50:00.000Z,,demo-project-jh2
48,2021-08-09T05:55:00.000Z,,demo-project-jh2
49,2021-08-09T06:00:00.000Z,,demo-project-jh2
50,2021-08-09T06:05:00.000Z,,demo-project-jh2
51,2021-08-09T06:10:00.000Z,,demo-project-jh2
52,2021-08-09T06:15:00.000Z,,demo-project-jh2
53,2021-08-09T06:20:00.000Z,,demo-project-jh2
54,2021-08-09T06:25:00.000Z,,demo-project-jh2
55,2021-08-09T06:30:00.000Z,,demo-project-jh2
56,2021-08-09T06:35:00.000Z,,demo-project-jh2
57,2021-08-09T06:40:00.000Z,,demo-project-jh2
58,2021-08-09T06:45:00.000Z,,demo-project-jh2
59,2021-08-09T06:50:00.000Z,,demo-project-jh2
60,2021-08-09T06:55:00.000Z,,demo-project-jh2
61,2021-08-09T07:00:00.000Z,,demo-project-jh2
62,2021-08-09T07:05:00.000Z,,demo-project-jh2
63,2021-08-09T07:10:00.000Z,,demo-project-jh2
64,2021-08-09T07:15:00.000Z,,demo-project-jh2
65,2021-08-09T07:20:00.000Z,,demo-project-jh2
66,2021-08-09T07:25:00.000Z,,demo-project-jh2
67,2021-08-09T07:30:00.000Z,,demo-project-jh2
68,2021-08-09T07:35:00.000Z,,demo-project-jh2
69,2021-08-09T07:40:00.000Z,,demo-project-jh2
70,2021-08-09T07:45:00.000Z,,demo-project-jh2
71,2021-08-09T07:50:00.000Z,,demo-project-jh2
72,2021-08-09T07:55:00.000Z,,demo-project-jh2
73,2021-08-09T08:00:00.000Z,,demo-project-jh2
74,2021-08-09T08:05:00.000Z,,demo-project-jh2
75,2021-08-09T08:10:00.000Z,,demo-project-jh2
76,2021-08-09T08:15:00.000Z,,demo-project-jh2
77,2021-08-09T08:20:00.000Z,,demo-project-jh2
78,2021-08-09T08:25:00.000Z,,demo-project-jh2
79,2021-08-09T08:30:00.000Z,,demo-project-jh2
80,2021-08-09T08:35:00.000Z,,demo-project-jh2
81,2021-08-09T08:40:00.000Z,,demo-project-jh2
82,2021-08-09T08:45:00.000Z,,demo-project-jh2
83,2021-08-09T08:50:00.000Z,,demo-project-jh2
84,2021-08-09T08:55:00.000Z,,demo-project-jh2
85,2021-08-09T09:00:00.000Z,,demo-project-jh2
86,2021-08-09T09:05:00.000Z,,demo-project-jh2
87,2021-08-09T09:10:00.000Z,0.36384000182151793,demo-project-jh2
